idx,iou,dice,gt_sum,pred_sum
000,0.26457297785781225,0.41843844916882394,6995,4199
001,0.4202682563332038,0.5918153200413516,6211,3319
002,0.5020424836597205,0.6684797389172322,10355,8030
003,0.2482869810557756,0.3978043267675187,8380,4008
004,0.506730351714604,0.6726224783856826,6328,7552
005,0.31364542778433796,0.4775191557029944,8103,5731
006,0.6130145427648348,0.7600855745715464,7446,5642
007,0.6401863848157288,0.7806263858087717,8472,5960
008,0.32533899086770096,0.49095211581257586,8750,5618
009,0.4651004683483418,0.6349059035830704,12809,6586
010,0.33344682782847185,0.5001276704396117,6613,5136
011,0.5027124773954156,0.6690734055349626,6582,5883
012,0.4064047540437917,0.5779342723000173,6573,6207
013,0.6041064487186244,0.7531999502915663,8243,7851
014,0.3407555428676936,0.5083037615326413,9066,5024
015,0.1896637402681881,0.3188526872735179,11658,2706
016,0.32690161058816225,0.4927292392738296,10023,6619
017,0.678553406222576,0.8084978454746883,5145,4834
018,0.6123271889395042,0.7595569846369181,9421,7373
019,0.36443187051755743,0.5341884463301504,14327,6411
